	major_axis	minor_axis	Aspect_Ratio	init_velocity	Angle_of_attack	Reynolds_Number	freq_m	Strouhal_Number
0	1	1.0	1	0.0001	0	100	1.9996667e-05	0.19996667
1	1	1.0	1	0.0005	0	500	0.00011664722	0.23329444
2	1	1.0	1	0.001	0	1000	0.00025000001	0.25000001
3	1	0.5	2	0.0001	0	100	0.0	0.0
4	1	0.5	2	0.0005	0	500	0.00017495625	0.3499124999999999
5	1	0.5	2	0.001	0	1000	0.0003713755	0.3713755
6	1	0.5	2	0.0001	5	100	0.0	0.0
7	1	0.5	2	0.0005	5	500	7.1423472e-07	0.00142846944
8	1	0.5	2	0.001	5	1000	3.6664922e-05	0.036664922
9	1	0.5	2	0.0001	10	100	0.0	0.0
10	1	0.5	2	0.0005	10	500	8.3326387e-07	0.00166652774
11	1	0.5	2	0.001	10	1000	5.5552471e-07	0.0005555247099999
12	1	0.33	3	0.0001	0	100	0.0	0.0
13	1	0.33	3	0.0005	0	500	0.0	0.0
14	1	0.33	3	0.001	0	1000	3.3498323e-05	0.0334983229999999
15	1	0.33	3	0.0001	5	100	0.0	0.0
16	1	0.33	3	0.0005	5	500	7.1423472e-07	0.00142846944
17	1	0.33	3	0.001	5	1000	4.761678e-07	0.0004761678
18	1	0.33	3	0.0001	10	100	0.0	0.0
19	1	0.33	3	0.0005	10	500	7.1423472e-07	0.00142846944
20	1	0.33	3	0.001	10	1000	4.761678e-07	0.0004761678
